集群,节点名称,节点IP,近7天CPU使用率平均值(%),近7天CPU使用率峰值(%),近7天内存使用率平均值(%),近7天内存使用率峰值(%),CPU分配率(%),内存分配率(%)
host,node1,172.31.19.4,37.8,94.81,68.78,69.97,25.9,23.81
host,node2,172.31.17.29,16.93,22.0,0.0,0.0,4.78,2.19
